,mode,count,acousticness,artists,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key
20966,0,2,0.0563,Ritt Momney,0.3989999999999999,210463.0,0.491,0.00089,0.11,-10.778,0.0538,91.066,0.151,93.0,6
14354,1,1,0.0907,Lele Pons,0.905,155825.0,0.6859999999999999,0.0,0.266,-3.152,0.0664,103.013,0.963,92.0,0
15070,0,2,0.31,Los Legendarios,0.823,213314.0,0.821,4.28e-06,0.143,-3.402,0.166,99.999,0.7909999999999999,90.0,8
11764,1,2,0.8190000000000001,Jerry Di,0.8540000000000001,197587.0,0.525,0.0,0.146,-4.426,0.214,97.054,0.63,89.0,1
7463,0,2,0.0686,Emilee,0.674,176547.0,0.774,0.00188,0.3929999999999999,-7.567,0.0892,112.05,0.33,88.0,11
23687,0,1,0.0686,Surf Mesa,0.674,176547.0,0.774,0.00188,0.3929999999999999,-7.567,0.0892,112.05,0.33,88.0,11
28263,1,2,0.424,salem ilese,0.738,136839.0,0.621,7.39e-06,0.6920000000000001,-7.313,0.0486,113.968,0.715,88.0,0
213,0,3,0.1666333333333333,A7S,0.7426666666666667,168293.0,0.726,0.0,0.1546666666666666,-5.921333333333332,0.198,121.29633333333334,0.5546666666666668,87.0,8
2343,0,1,0.111,Beltito,0.863,260545.0,0.669,0.0,0.0569,-5.952000000000001,0.282,164.062,0.947,86.0,6
14378,0,2,0.254,Lenny Santos,0.752,206760.0,0.716,0.0,0.243,-5.2,0.0325,117.007,0.5529999999999999,86.0,10
