,valence,year,acousticness,artists,danceability,duration_ms,energy,explicit,id,instrumentalness,key,liveness,loudness,mode,name,popularity,release_date,speechiness,tempo
19611,0.145,2020,0.401,"['Bad Bunny', 'Jhay Cortez']",0.731,205090,0.573,1,47EiUVwUp4C9fGccaPuUCS,5.22e-05,4,0.113,-10.059,0,Dakiti,100,2020-10-30,0.0544,109.928
19606,0.7559999999999999,2020,0.221,"['24kGoldn', 'iann dior']",0.7,140526,0.722,1,3tjFYV6RSFtuktYl3ZtYcq,0.0,7,0.272,-3.5580000000000003,0,Mood (feat. iann dior),99,2020-07-24,0.0369,90.989
19618,0.737,2020,0.0112,['BTS'],0.746,199054,0.765,0,0t1kP63rueHleOhQkYSXFY,0.0,6,0.0936,-4.41,0,Dynamite,97,2020-08-28,0.0993,114.044
19608,0.357,2020,0.0194,"['Cardi B', 'Megan Thee Stallion']",0.935,187541,0.454,1,4Oun2ylbjFKMPTiaSbbCih,0.0,1,0.0824,-7.508999999999999,1,WAP (feat. Megan Thee Stallion),96,2020-08-07,0.375,133.07299999999998
19610,0.682,2020,0.468,['Ariana Grande'],0.737,172325,0.802,1,35mvY5S1H3J2QZyna3TFe0,0.0,0,0.0931,-4.771,1,positions,96,2020-10-30,0.0878,144.015
19612,0.5429999999999999,2020,0.65,['Pop Smoke'],0.7090000000000001,160000,0.5479999999999999,1,1tkg4EHVoqnhR6iFEXb60y,1.59e-06,10,0.133,-8.493,1,What You Know Bout Love,96,2020-07-03,0.353,83.995
19616,0.334,2020,0.00146,['The Weeknd'],0.514,200040,0.73,0,0VjIjW4GlUZAMYd2vXMi3b,9.54e-05,1,0.0897,-5.934,1,Blinding Lights,96,2020-03-20,0.0598,171.005
19607,0.347,2020,0.114,"['Pop Smoke', 'Lil Baby', 'DaBaby']",0.823,190476,0.586,1,0PvFJmanyNQMseIFrU708S,0.0,6,0.193,-6.606,0,For The Night (feat. Lil Baby & DaBaby),95,2020-07-03,0.2,125.971
19615,0.3720000000000001,2020,0.196,"['Justin Bieber', 'Chance the Rapper']",0.6729999999999999,212093,0.7040000000000001,0,5u1n1kITHCxxp8twBcZxWy,0.0,6,0.0898,-8.056000000000001,1,Holy (feat. Chance The Rapper),95,2020-09-18,0.36,86.919
19620,0.0927,2020,0.8640000000000001,"['Justin Bieber', 'benny blanco']",0.631,149297,0.239,1,4y4spB9m0Q6026KfkAvy9Q,0.0,11,0.116,-7.0710000000000015,0,Lonely (with benny blanco),95,2020-10-16,0.0398,79.859
